,business_id,short_inspect_date,risk_category,short_violation_id,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
124,86593,20171207,Low Risk,103138,0,3,0,0,0,0,2
125,58628,20160413,Low Risk,103139,0,4,0,0,0,0,3
126,5913,20160906,Moderate Risk,103131,0,0,0,0,0,1,4
127,2755,20161205,High Risk,103114,0,0,0,0,0,0,4
128,2292,20160414,Low Risk,103154,0,5,0,0,0,0,6
129,65873,20171208,Low Risk,103156,0,2,0,0,0,1,5
130,35852,20161205,Low Risk,103154,5,0,3,0,0,0,3
131,134,20150806,Low Risk,103145,0,0,0,0,0,1,1
132,74358,20160511,Low Risk,103142,0,3,0,0,0,0,2
133,82105,20160812,Low Risk,103157,0,0,0,3,0,0,5
134,92751,20171117,Moderate Risk,103129,0,6,0,0,0,0,0
135,86166,20160823,Moderate Risk,103119,0,6,0,0,0,0,5
136,1261,20171212,Low Risk,103139,0,1,0,0,0,2,2
137,62064,20160411,Low Risk,103150,0,3,0,0,0,0,5
138,13814,20160930,Moderate Risk,103124,0,4,0,0,0,0,5
139,75681,20160608,High Risk,103103,0,8,0,0,0,0,4
140,2061,20180223,Moderate Risk,103133,2,0,0,0,0,0,0
141,86180,20161205,Low Risk,103147,0,0,5,0,0,0,8
142,66990,20160601,Low Risk,103138,0,0,4,0,0,0,4
143,75523,20160511,Low Risk,103156,0,1,0,0,0,0,6
144,72120,20160412,Moderate Risk,103132,0,0,4,0,0,0,3
145,1124,20171114,Low Risk,103144,0,2,0,0,0,0,3
146,7610,20171208,Low Risk,103139,0,1,0,0,0,1,1
147,63082,20180222,Moderate Risk,103133,3,0,4,2,0,7,1
148,35855,20170105,High Risk,103109,0,2,0,0,0,0,3
149,91999,20170718,Low Risk,103144,4,0,3,0,0,0,0
150,24279,20160815,Moderate Risk,103124,3,0,0,0,0,0,2
151,82945,20160927,Moderate Risk,103131,0,1,0,0,0,3,2
152,39888,20160929,Moderate Risk,103120,4,0,0,2,0,0,2
153,1970,20161207,Moderate Risk,103124,0,4,0,0,0,0,5
154,4685,20161203,Low Risk,103156,0,0,3,4,0,2,2
155,80767,20180223,Low Risk,103162,4,0,0,0,0,3,3
156,1018,20170718,Moderate Risk,103124,4,0,4,0,0,0,1
157,77031,20160930,High Risk,103102,6,0,0,3,0,0,8
158,37389,20161205,Low Risk,103145,4,0,0,0,0,7,4
159,7496,20160518,Low Risk,103142,0,0,0,0,0,0,1
160,1005,20160502,Moderate Risk,103131,5,0,9,0,0,0,5
161,2110,20160906,Low Risk,103143,6,0,6,0,0,0,11
162,81758,20160404,Low Risk,103161,0,7,0,0,0,3,4
163,64805,20170105,Moderate Risk,103120,0,0,0,0,0,0,2
164,999,20160503,Moderate Risk,103133,7,0,6,0,0,4,5
165,79829,20161207,Moderate Risk,103120,0,0,0,0,0,0,4
166,38179,20160517,Moderate Risk,103120,0,3,0,0,0,0,3
167,73,20160927,Low Risk,103149,0,4,0,0,0,5,3
168,87932,20180228,Moderate Risk,103134,2,0,0,0,0,0,3
169,17947,20160510,Moderate Risk,103133,0,4,0,0,0,0,6
