,Unnamed: 0,Unnamed: 0.1,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,short_inspect_date,short_violation_id,inspect_date,p1_3,p4_6,p7_9,p10_12,p13_18,p19_24,p25_36
53,53,71,93968,Pollo Campero,2740 Mission St,San Francisco,CA,94110,,,,14155620801.0,93968_20171120,11/20/2017 0:00,98.0,Routine - Unscheduled,93968_20171120_103142,Unclean nonfood contact surfaces,Low Risk,20171120,103142,2017-11-20,0,1,0,0,0,0,0
54,54,72,3241,SHENG KEE BAKERY,1941 IRVING St,San Francisco,CA,94122,37.76344,-122.47864799999999,"(37.76344, -122.478648)",,3241_20160906,9/6/2016 0:00,86.0,Routine - Unscheduled,3241_20160906_103154,Unclean or degraded floors walls or ceilings,Low Risk,20160906,103154,2016-09-06,0,0,5,0,0,5,4
55,55,74,5268,SAN FRANCISCO MUSEUM OF MODERN ART,151 03rd St,San Francisco,CA,94103,37.785643,-122.401192,"(37.785643, -122.401192)",,5268_20160815,8/15/2016 0:00,87.0,Routine - Unscheduled,5268_20160815_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20160815,103124,2016-08-15,3,0,0,0,2,3,0
56,56,76,5960,ST. ANNE,1320 14th Ave,San Francisco,CA,94122,37.763403000000004,-122.47158200000001,"(37.763403, -122.471582)",,5960_20160506,5/6/2016 0:00,92.0,Routine - Unscheduled,5960_20160506_103120,Moderate risk food holding temperature,Moderate Risk,20160506,103120,2016-05-06,0,0,0,3,2,3,3
57,57,78,5090,SUNSET SUPERMARKET,2425 IRVING St,San Francisco,CA,94122,37.763221,-122.483832,"(37.763221, -122.483832)",,5090_20170725,7/25/2017 0:00,73.0,Routine - Unscheduled,5090_20170725_103157,Food safety certificate or food handler card not available,Low Risk,20170725,103157,2017-07-25,0,0,10,0,6,6,0
58,58,80,93815,Little Heaven Deli,2348 Mission Street,San Francisco,CA,94110,,,,,93815_20171102,11/2/2017 0:00,96.0,Routine - Unscheduled,93815_20171102_103144,Unapproved or unmaintained equipment or utensils,Low Risk,20171102,103144,2017-11-02,0,2,0,0,0,0,0
59,59,81,3862,IMPERIAL GARDEN SEAFOOD RESTAURANT,2626 SAN BRUNO Ave,San Francisco,CA,94134,37.728458,-122.40399099999999,"(37.728458, -122.403991)",14155469666.0,3862_20170905,9/5/2017 0:00,73.0,Routine - Unscheduled,3862_20170905_103156,Permit license or inspection report not posted,Low Risk,20170905,103156,2017-09-05,0,0,8,0,9,7,0
60,60,82,65649,Krua Thai Kitchen,3214 16th St,San Francisco,CA,94103,37.764788,-122.424462,"(37.764788, -122.424462)",,65649_20161206,12/6/2016 0:00,90.0,Routine - Unscheduled,65649_20161206_103120,Moderate risk food holding temperature,Moderate Risk,20161206,103120,2016-12-06,0,0,0,0,3,3,2
61,61,84,5457,AT&T - (CART 39) DOGGIE DINER v [145126],24 WILLIE MAYS PLAZA,San Francisco,CA,94107,,,,14155971500.0,5457_20160814,8/14/2016 0:00,96.0,Routine - Unscheduled,5457_20160814_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20160814,103149,2016-08-14,0,0,0,0,0,2,1
62,62,87,86659,Cumaica Coffee Co. #1,2800 California St #102,San Francisco,CA,94115,,,,,86659_20160914,9/14/2016 0:00,90.0,Routine - Unscheduled,86659_20160914_103138,Improper storage use or identification of toxic substances,Low Risk,20160914,103138,2016-09-14,3,0,0,0,0,3,0
